Fortaleza; Kourou; 6200; 75; 5
Fortaleza; Praia; 6200; 75; 5
Fortaleza; Funchal; 6200; 75; 5
Fortaleza; Sines; 6200; 75; 5
Fortaleza; Rio de Janeiro; 23500; 45; 3
Fortaleza; Maiquetia; 23500; 45; 3
Fortaleza; St. David's; 23500; 45; 3
Fortaleza; Santos; 10556; 30; 2
Fortaleza; Boca Raton; 10556; 30; 2
Fortaleza; Salvador; 25000; 60; 4
Fortaleza; Rio de Janeiro; 25000; 60; 4
Fortaleza; Santos; 25000; 60; 4
Fortaleza; San Juan; 25000; 60; 4
Fortaleza; Rio de Janeiro; 20000; 30; 2
Fortaleza; St. Croix; 20000; 30; 2
Fortaleza; Sangano; 6165; 15; 1
Fortaleza; Kribi; 5800; 15; 1
Fortune; Miquelon-Langlade; 200; 15; 1
Four Mile Bluff; McGaurans Beach; 298; 15; 1
Frederiksted; Humacao; 670; 15; 1
Frederiksted; Christiansted; 183; 30; 2
Frederiksted; Brewer's Bay; 183; 30; 2
Freetown; Conakry; 17000 km; 150; 6
Freetown; Suro; 17000 km; 150; 6
Freetown; Banjul; 17000 km; 150; 6
Freetown; Dakar; 17000 km; 150; 6
Freetown; Monrovia; 17000 km; 150; 6
Freetown; Abidjan; 17000 km; 150; 6
Fresh Creek; Nassau; 2817 km; 15; 1
Fujairah; Doha; 25000 km; 495; 11
Fujairah; Al Bustan; 25000 km; 495; 11
Fujairah; Karachi; 25000 km; 495; 11
Fujairah; Aden; 25000 km; 495; 11
Fujairah; Dijibouti; 25000 km; 495; 11
Fujairah; Jeddah; 25000 km; 495; 11
Fujairah; Zafarana; 25000 km; 495; 11
Fujairah; Mumbai; 25000 km; 495; 11
Fujairah; Ngwe Saung; 25000 km; 495; 11
Fujairah; Kuala Kurau; 25000 km; 495; 11
Fujairah; Satun; 25000 km; 495; 11
Fujairah; Barka; 8100 km; 75; 5
Fujairah; Mumbai; 8100 km; 75; 5
Fujairah; Ratmalana; 8100 km; 75; 5
Fujairah; Chennai; 8100 km; 75; 5
Fujairah; Penang; 8100 km; 75; 5
Fujairah; Barka; 15000 km; 15; 1
Fujairah; Mumbai; 28000 km; 60; 4
Fujairah; Jeddah; 28000 km; 60; 4
Fujairah; Aqaba; 28000 km; 60; 4
Fujairah; Suez; 28000 km; 60; 4
Fujairah; Al Daayen; 0 km; 200; 8
Fujairah; Bushehr; 0 km; 200; 8
Fujairah; Al Faw; 0 km; 200; 8
Fujairah; Kuwait City; 0 km; 200; 8
Fujairah; Al Khobar; 0 km; 200; 8
Fujairah; Al Hidd; 0 km; 200; 8
Fujairah; Al Seeb; 0 km; 200; 8
Fujairah; Mumbai; 0 km; 200; 8
Fujairah; Karachi; 12091 km; 60; 4
Fujairah; Mumbai; 12091 km; 60; 4
Fujairah; Jeddah; 12091 km; 60; 4 
Fujairah; Suez; 12091 km; 60; 4 
Fujairah; Gwadar; 1300 km; 30; 2 
Fujairah; Karachi; 1300 km; 30; 2
Fujairah; Muscat; 39000 km; 585; 13
Fujairah; Karachi; 39000 km; 585; 13
Fujairah; Mumbai; 39000 km; 585; 13 
Fujairah; Djibouti City; 39000 km; 585; 13 
Fujairah; Jeddah; 39000 km; 585; 13 
Fujairah; Suez; 39000 km; 585; 13 
Fujairah; Cochin; 39000 km; 585; 13
Fujairah; Mt. Lavinia; 39000 km; 585; 13
Fujairah; Pyapon; 39000 km; 585; 13
Fujairah; Satun; 39000 km; 585; 13
Fujairah; Penang; 39000 km; 585; 13
Fujairah; Medan; 39000 km; 585; 13
Fujairah; Tuas; 39000 km; 585; 13
Fujairah; Qalhat; 20000 km; 175; 7
Fujairah; Karachi; 20000 km; 175; 7
Fujairah; Matara; 20000 km; 175; 7
Fujairah; Djibouti City; 20000 km; 175; 7
Fujairah; Al Hudaydah; 20000 km; 175; 7
Fujairah; Yanbu; 20000 km; 175; 7
Fujairah; Zafarana; 20000 km; 175; 7
Fujairah; Dubai; 4031 km; 75; 5 
Fujairah; Al-Kheesa; 4031 km; 75; 5 
Fujairah; Amwaj Island; 4031 km; 75; 5 
Fujairah; Al Khobar; 4031 km; 75; 5 
Fujairah; Qalhat; 4031 km; 75; 5 
Fujairah; Mombasa; 4900 km; 15; 1
Fujairah; Karachi; 1300 km; 30; 2
Fujairah; Al Seeb; 1300 km; 30; 2
Fujairah; Jask; 170 km; 15; 1
Fukuoka; Busan; 500 km; 15; 1
Funchal; Porto Santo; 1120 km; 30; 2
Funchal; Ponta Delgada; 1120; 30; 2
Funchal; Sines; 6200 km; 75; 5
Funchal; Praia; 6200 km; 75; 5
Funchal; Kourou; 6200 km; 75; 5
Funchal; Fortaleza; 6200 km; 75; 5
Funchal; Praia Grande; 6200 km; 75; 5
Funningsfjordur; Seydisfjordur; 1205 km; 30; 2
Funningsfjordur; Dunnet Bay; 1205 km; 30; 2
Fuvahmulah; Gahdhoo; 1253 km; 30; 2
Fuvahmulah; Hithadhoo; 1253 km; 30; 2 
Fuzhou; Tanshui; 260 km; 15; 1
Gahdhoo; Gan; 1253 km; 30; 2
Gahdhoo; Fuvahmulah; 1253 km; 30; 2
Gan; Gahdhoo; 1253 km; 30; 2
Gan; Dhangethi; 1253 km; 30; 2
Ganavan Bay; Duart Bay; 402 km; 15; 1
Ganaveh; Khark Island; 380 km; 45; 3
Ganaveh; Soroosh Platform; 380 km; 45; 3
Ganaveh; Kuwait City; 380 km; 45; 3
Gavá; Ses Covetes; 309 km; 15; 1
Gedebak Odde; Mielno; 110 km; 15; 1
Gedser; Markgrafenheide; 0 km; 15; 1
Gedser; Rostock; 43 km; 15; 1
Gedser; Rostock; 44 km; 15; 1
Gedser; Pedersker; 437 km; 15; 1
Genoa; Palermo; 1000 km; 15; 1
Geoje; Miura; 28000 km; 45; 3
Geoje; Shanghai; 28000 km; 45; 3 
Geoje; Lantau Island; 28000 km; 45; 3
Geoje; Shanghai; 39000 km; 150; 6
Geoje; Okinawa; 39000 km; 150; 6 
Geoje; Toucheng; 39000 km; 150; 6 
Geoje; Fangshan; 39000 km; 150; 6 
Geoje; Shantou; 39000 km; 150; 6 
Geoje; Deep Water Bay; 39000 km; 150; 6 
Geoje; Qingdao; 17000 km; 75; 5
Geoje; Chongming; 17000 km; 75; 5
Geoje; Tanshui; 17000 km; 75; 5
Geoje; Maruyama; 17000 km; 75; 5
Geoje; Nedonna Beach; 17000 km; 75; 5
George Town; Port Nelson; 2817 km; 30; 2
George Town; Governors Harbor; 2817 km; 30; 2
Georgetown; Totness; 775 km; 45; 3
Georgetown; Pegwell; 775 km; 45; 3
Georgetown; Port Salines; 775 km; 45; 3
Georgetown; Totness; 1249 km; 30; 2
Georgetown; Chaguaramas; 1249 km; 30; 2
Gibraltar; Sesimbra; 15000 km; 75; 5
Gibraltar; Bude; 15000 km; 75; 5
Gibraltar; Monaco; 15000 km; 75; 5
